Username,ID,answer_id,Post Date,question_id
Hang,211789,1846992,2016-07-02 17:15:00,1555224
Kaish,37174,579533,2013-11-24 18:25:00,578941
Kaish,37174,419323,2013-06-13 12:33:00,419317
Kaish,37174,418689,2013-06-12 19:01:00,418682
Kaish,37174,417759,2013-06-11 18:44:00,417748
Kaish,37174,417750,2013-06-11 18:32:00,417745
Kaish,37174,417310,2013-06-11 10:53:00,417298
Kaish,37174,415390,2013-06-09 11:18:00,415304
Kaish,37174,414645,2013-06-08 12:08:00,414643
Kaish,37174,414634,2013-06-08 11:38:00,414604
Kaish,37174,412458,2013-06-05 22:56:00,412442
Kaish,37174,411470,2013-06-04 22:16:00,411461
Kaish,37174,410061,2013-06-03 11:14:00,410059
Kaish,37174,408898,2013-06-01 23:58:00,408892
Kaish,37174,408399,2013-06-01 11:40:00,408397
Kaish,37174,406948,2013-05-30 17:42:00,406554
Kaish,37174,395660,2013-05-18 16:43:00,395543
Kaish,37174,390481,2013-05-13 15:18:00,390479
Kaish,37174,383615,2013-05-06 18:33:00,383605
Kaish,37174,377068,2013-04-30 09:19:00,377057
Kaish,37174,373729,2013-04-26 17:50:00,373725
Kaish,37174,367290,2013-04-20 12:36:00,367283
Kaish,37174,366790,2013-04-19 19:31:00,366775
Kaish,37174,350059,2013-04-03 13:00:00,340029
Kaish,37174,349147,2013-04-02 14:50:00,349106
Kaish,37174,347371,2013-03-31 15:39:00,347367
Kaish,37174,297349,2013-02-07 17:14:00,297347
Kaish,37174,275550,2013-01-11 01:26:00,239189
Korgan Rivera,21050,686615,2014-02-23 01:27:00,686586
Korgan Rivera,21050,200082,2012-09-21 03:03:00,199919
Korgan Rivera,21050,96111,2012-01-03 16:35:00,95922
Makoto Kato,28422,1616525,2016-01-18 05:58:00,1616518
Makoto Kato,28422,807076,2014-05-23 20:01:00,731261
Makoto Kato,28422,753386,2014-04-14 14:34:00,751539
Makoto Kato,28422,750267,2014-04-12 01:18:00,724021
Makoto Kato,28422,741458,2014-04-05 23:05:00,161970
Makoto Kato,28422,737853,2014-04-03 07:54:00,734959
Makoto Kato,28422,718028,2014-03-19 08:44:00,712691
Makoto Kato,28422,706009,2014-03-09 23:43:00,692383
Makoto Kato,28422,696882,2014-03-02 22:51:00,684146
Makoto Kato,28422,683358,2014-02-20 09:45:00,681413
Makoto Kato,28422,637399,2014-01-13 21:26:00,140032
Makoto Kato,28422,635234,2014-01-12 00:19:00,159327
Makoto Kato,28422,622108,2013-12-30 09:01:00,622095
Makoto Kato,28422,616229,2013-12-23 07:53:00,615255
Makoto Kato,28422,616086,2013-12-23 03:25:00,615390
Makoto Kato,28422,616067,2013-12-23 02:53:00,615709
Makoto Kato,28422,613743,2013-12-20 08:20:00,192113
Makoto Kato,28422,608780,2013-12-16 06:58:00,604050
Makoto Kato,28422,606412,2013-12-14 10:38:00,604050
Makoto Kato,28422,604056,2013-12-12 10:14:00,604051
Makoto Kato,28422,600337,2013-12-09 20:10:00,597673
Makoto Kato,28422,594864,2013-12-06 00:41:00,571126
Makoto Kato,28422,594476,2013-12-05 19:01:00,192217
Makoto Kato,28422,594333,2013-12-05 17:34:00,574127
Makoto Kato,28422,592461,2013-12-04 14:16:00,192217
Makoto Kato,28422,592008,2013-12-04 04:30:00,572583
Makoto Kato,28422,590132,2013-12-02 22:06:00,590097
Makoto Kato,28422,589880,2013-12-02 18:19:00,571585
Makoto Kato,28422,589870,2013-12-02 18:11:00,572479
Makoto Kato,28422,589821,2013-12-02 17:22:00,572583
Makoto Kato,28422,589088,2013-12-02 04:11:00,588997
Makoto Kato,28422,588988,2013-12-02 02:54:00,585986
Makoto Kato,28422,585441,2013-11-29 08:07:00,585421
Makoto Kato,28422,583956,2013-11-27 23:29:00,573309
Makoto Kato,28422,582900,2013-11-27 06:57:00,582699
Makoto Kato,28422,582585,2013-11-26 23:28:00,572583
Makoto Kato,28422,581072,2013-11-25 21:28:00,572583
Makoto Kato,28422,574462,2013-11-20 10:57:00,2971
Makoto Kato,28422,571811,2013-11-18 12:56:00,266100
Makoto Kato,28422,570504,2013-11-17 15:22:00,193329
Makoto Kato,28422,568862,2013-11-16 03:28:00,555045
Makoto Kato,28422,568538,2013-11-15 20:08:00,525503
Makoto Kato,28422,567568,2013-11-15 01:06:00,554971
Makoto Kato,28422,566156,2013-11-14 01:13:00,553942
Makoto Kato,28422,565044,2013-11-13 06:20:00,557548
Makoto Kato,28422,564143,2013-11-12 17:08:00,554173
Makoto Kato,28422,563357,2013-11-12 02:45:00,563337
Makoto Kato,28422,563234,2013-11-12 00:19:00,562238
Makoto Kato,28422,560996,2013-11-10 10:36:00,555640
Makoto Kato,28422,560955,2013-11-10 09:31:00,557659
Makoto Kato,28422,560914,2013-11-10 08:32:00,556643
Makoto Kato,28422,560453,2013-11-09 22:03:00,552516
Makoto Kato,28422,560422,2013-11-09 21:42:00,556288
Makoto Kato,28422,549920,2013-11-03 08:45:00,191933
Makoto Kato,28422,549855,2013-11-03 06:39:00,546281
