Username,ID,Post Title,Post Date,Post Link
Hagrid,57139,Subdifferential - equivalent definitions?,2016-12-04 11:48:00,https://math.stackexchange.com/questions/2043166/subdifferential-equivalent-definitions
Hagrid,57139,"Find the norm of linear map, polynomials, derivative",2016-08-17 21:06:00,https://math.stackexchange.com/questions/1895480/find-the-norm-of-linear-map-polynomials-derivative
Hagrid,57139,Is this operator a distribution?,2016-02-09 14:49:00,https://math.stackexchange.com/questions/1647607/is-this-operator-a-distribution
Hagrid,57139,To what Sobolev space does this function belong to?,2016-02-09 14:37:00,https://math.stackexchange.com/questions/1647584/to-what-sobolev-space-does-this-function-belong-to
Hagrid,57139,"Poisson process, sum of iid (not Poisson) random variables",2016-01-19 18:44:00,https://math.stackexchange.com/questions/1618518/poisson-process-sum-of-iid-not-poisson-random-variables
Hagrid,57139,"Bounded holomorphic function, limsup, boundary",2015-11-29 12:44:00,https://math.stackexchange.com/questions/1551333/bounded-holomorphic-function-limsup-boundary
Hagrid,57139,"Dice roll, payoff, entry fee",2015-06-05 08:43:00,https://math.stackexchange.com/questions/1313047/dice-roll-payoff-entry-fee
Hagrid,57139,Conditional expectation random variable composed with a meas. function,2015-05-12 15:14:00,https://math.stackexchange.com/questions/1278862/conditional-expectation-random-variable-composed-with-a-meas-function
Hagrid,57139,Sigma algebra generated by a homeomorphic random variable,2015-05-10 18:41:00,https://math.stackexchange.com/questions/1276030/sigma-algebra-generated-by-a-homeomorphic-random-variable
Hagrid,57139,"Conditional expectation, quadratic function, absolute value",2015-05-09 18:01:00,https://math.stackexchange.com/questions/1274486/conditional-expectation-quadratic-function-absolute-value
Hagrid,57139,"Dice roll, estimator, epsilon",2015-05-08 07:17:00,https://math.stackexchange.com/questions/1272556/dice-roll-estimator-epsilon
Hagrid,57139,"Almost sure convergence, arithmetic mean, variance",2015-04-19 12:59:00,https://math.stackexchange.com/questions/1241767/almost-sure-convergence-arithmetic-mean-variance
Hagrid,57139,Divergent series of independent RV,2015-04-18 09:57:00,https://math.stackexchange.com/questions/1240168/divergent-series-of-independent-rv
